personId,title1,title2,title3,title4,title5
-9223121837663643404,Mobile marketing statistics 2016,"Novo workaholic trabalha, pratica esportes e tem tempo para a família. Conheça",The brilliant mechanics of Pokémon Go,Livro: Retrospectivas Divertidas,Former Google career coach shares a visual trick for figuring out what to do with your life
-9212075797126931087,"Ganhe 6 meses de acesso ao Pluralsight, maior plataforma de treinamento online",Como são escrita as risadas em japonês? - Suki Desu,Request lesson : How and when to use はず(=hazu) | Maggie Sensei,"The Algorithm March, Japan's Strangely Entertaining Exercise",Former Google career coach shares a visual trick for figuring out what to do with your life
-9207251133131336884,Cinco competências comportamentais para você ser um bom líder,O que você deve fazer para se tornar um líder melhor?,"Novo workaholic trabalha, pratica esportes e tem tempo para a família. Conheça",Livro: Retrospectivas Divertidas,Psicóloga de Harvard diz que as pessoas julgam você em segundos por esses critérios | Jornal do Empreendedor
-9199575329909162940,"Inovador, Nubank ganha prêmio no Vale do Silício | EXAME.com","Microsoft adquire LinkedIn por US$ 26,2 bilhões",The brilliant mechanics of Pokémon Go,Ray Kurzweil: The world isn't getting worse - our information is getting better,Former Google career coach shares a visual trick for figuring out what to do with your life
-9196668942822132778,"Ganhe 6 meses de acesso ao Pluralsight, maior plataforma de treinamento online",Um bilhão de arquivos mostram quem vence a disputa tabs vs. espaços entre programadores,How it feels to learn Javascript in 2016,Mastering Bash and Terminal,Don't document your code. Code your documentation.
-9188188261933657343,The Best Linux Distros of 2016,"Novo workaholic trabalha, pratica esportes e tem tempo para a família. Conheça",Um bilhão de arquivos mostram quem vence a disputa tabs vs. espaços entre programadores,Why Programmers Want Private Offices,Former Google career coach shares a visual trick for figuring out what to do with your life
-9172914609055320039,Mobile marketing statistics 2016,Livro: Retrospectivas Divertidas,Psicóloga de Harvard diz que as pessoas julgam você em segundos por esses critérios | Jornal do Empreendedor,Ray Kurzweil: The world isn't getting worse - our information is getting better,Former Google career coach shares a visual trick for figuring out what to do with your life
-9156344805277471150,Progressive Web App - first introduced on Google I/O | airberlin,Google's cloud platform is now a force to be reckoned with,"CSP Is Dead, Long Live CSP! On the Insecurity of Whitelists and the Future of Content Security Policy",Squads não-suicidas - Hipsters #08,Former Google career coach shares a visual trick for figuring out what to do with your life
-9150583489352258206,Ray Kurzweil: The world isn't getting worse - our information is getting better,Um bilhão de arquivos mostram quem vence a disputa tabs vs. espaços entre programadores,The hardest thing in computer science,Things you probably didn't know you could do with Chrome's Developer Console,Former Google career coach shares a visual trick for figuring out what to do with your life
-9120685872592674274,Livro: Retrospectivas Divertidas,O que o GitHub tem a nos dizer sobre os estereótipos entre programadores | Tecnoblog,Ray Kurzweil: The world isn't getting worse - our information is getting better,Seja esperto no trabalho: Melhore a comunicação na empresa com 12 robôs,Former Google career coach shares a visual trick for figuring out what to do with your life
-9109785559521267180,"Welcome to GoogleBank, Facebook Bank, Amazon Bank, and Apple Bank - Enrique Dans","Novo workaholic trabalha, pratica esportes e tem tempo para a família. Conheça",Livro: Retrospectivas Divertidas,Psicóloga de Harvard diz que as pessoas julgam você em segundos por esses critérios | Jornal do Empreendedor,Former Google career coach shares a visual trick for figuring out what to do with your life
-9099478998637725255,The End Of Apps As We Know Them - Inside Intercom,Embracing Agile,Top 10 Intranet Trends of 2016,Ray Kurzweil: The world isn't getting worse - our information is getting better,Who sponsors Drupal development? | Dries Buytaert
-9083704948999852989,A minha viagem à Maternidade #tetodomundo,Livro: Retrospectivas Divertidas,Discutindo Devops na Prática,Don't document your code. Code your documentation.,Former Google career coach shares a visual trick for figuring out what to do with your life
-9063420486253202900,Um bilhão de arquivos mostram quem vence a disputa tabs vs. espaços entre programadores,Seja esperto no trabalho: Melhore a comunicação na empresa com 12 robôs,15 minutos sobre Docker,New MacBook Pro is not a Laptop for Developers Anymore,Don't document your code. Code your documentation.
-9060214117327732109,Monitoramento em tempo real com Elasticsearch e Kibana,"Novo workaholic trabalha, pratica esportes e tem tempo para a família. Conheça",Livro: Retrospectivas Divertidas,Custo do Erro - Cinco motivos para investir em automação de testes,Former Google career coach shares a visual trick for figuring out what to do with your life
-9048557723087354030,Mobile marketing statistics 2016,"Microsoft adquire LinkedIn por US$ 26,2 bilhões","Novo workaholic trabalha, pratica esportes e tem tempo para a família. Conheça",Ray Kurzweil: The world isn't getting worse - our information is getting better,Former Google career coach shares a visual trick for figuring out what to do with your life
-9047547311469006438,"Novo workaholic trabalha, pratica esportes e tem tempo para a família. Conheça",Livro: Retrospectivas Divertidas,Psicóloga de Harvard diz que as pessoas julgam você em segundos por esses critérios | Jornal do Empreendedor,Um bilhão de arquivos mostram quem vence a disputa tabs vs. espaços entre programadores,Former Google career coach shares a visual trick for figuring out what to do with your life
-9016528795238256703,The brilliant mechanics of Pokémon Go,Livro: Retrospectivas Divertidas,Ray Kurzweil: The world isn't getting worse - our information is getting better,10 Modern Software Over-Engineering Mistakes,Custo do Erro - Cinco motivos para investir em automação de testes
-9012030317377670760,Vision API - Image Content Analysis,How to Get a Job at Google,Do You Suffer From Deployment Anxiety? - DZone DevOps,How Coca-Cola Is Harvesting Innovation Energy From Startups,These Are The 10 Most Purchased Brands in the World
-9009798162809551896,"Ganhe 6 meses de acesso ao Pluralsight, maior plataforma de treinamento online",10 Modern Software Over-Engineering Mistakes,Seja esperto no trabalho: Melhore a comunicação na empresa com 12 robôs,Don't document your code. Code your documentation.,Former Google career coach shares a visual trick for figuring out what to do with your life
-9001583565812478106,"Novo workaholic trabalha, pratica esportes e tem tempo para a família. Conheça",Ray Kurzweil: The world isn't getting worse - our information is getting better,The Broken Window Theory,Seja esperto no trabalho: Melhore a comunicação na empresa com 12 robôs,Former Google career coach shares a visual trick for figuring out what to do with your life
