userId,rec_1,rec_2,rec_3,rec_4,rec_5
-8845298781299428018,Email Isn't The Thing You're Bad At,20 Percent Will Stop Reading Your Email If You Make This One Mistake,AI Is Here to Help You Write Emails People Will Actually Read,Measuring email effectiveness in retail banking,Certeza que devemos marcar uma reunião?
-1032019229384696495,5 reasons your employees aren't sharing their knowledge,How to Create a Unified Culture in a Company With Multiple Offices,Google Ranking Factors: The Complete List,Ahead of the curve: The future of performance management,Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design
-1130272294246983140,71 erros de vocabulário e pronúncia em inglês que você faz,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,Vídeos motivacionais: os 21 vídeos mais incríveis.,25 Coisas que Você Devia Começar a Fazer Agora que Tem 25 anos,Cinco competências comportamentais para você ser um bom líder
344280948527967603,71 erros de vocabulário e pronúncia em inglês que você faz,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,Vídeos motivacionais: os 21 vídeos mais incríveis.,25 Coisas que Você Devia Começar a Fazer Agora que Tem 25 anos,Cinco competências comportamentais para você ser um bom líder
-445337111692715325,Frequently asked questions about design sprints - InVision Blog,Running GV sprints inside corporates - learn from my mistakes - Sprint Stories,10 Simple Habits of Insanely Productive People,Scrum Community - Scrum Alliance,Practical Frameworks for Beating Burnout
-8763398617720485024,71 erros de vocabulário e pronúncia em inglês que você faz,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,Vídeos motivacionais: os 21 vídeos mais incríveis.,25 Coisas que Você Devia Começar a Fazer Agora que Tem 25 anos,Cinco competências comportamentais para você ser um bom líder
3609194402293569455,"7 dicas, macetes e apps que uso para organizar o meu dia e ser mais produtivo no trabalho","Por dentro do Nubank, conheça os segredos da fintech mais festejada do país","Empresas brasileiras correm para ""ajustar"" cultura interna | EXAME.com",OKR e meta: minha experiência no Runrun.it,"O que aprendemos com os modelos de gestão da Google, Netflix e Dell  Leia mais em Endeavor @ https://endeavor.org.br/modelo-gesta-dell-netflix-google/"
4254153380739593270,Introducing the Google API Console,Things you probably didn't know you could do with Chrome's Developer Console,The Top 10 Most Common Mistakes That Node.js Developers Make,"Cloud Shell now GA, and still free",Prototypal Object-Oriented Programming using JavaScript
1908339160857512799,"Claudia Sender, 41 | UOL Economia",E os vencedores do Latam Founders Awards 2016 são... - Startupi,A saga do jovem CEO da Dasa,"Empresas brasileiras correm para ""ajustar"" cultura interna | EXAME.com",Especialistas trazem tendências de UX para 2017 - KingHost
7781822014935525018,The Business Case for Continuous Delivery | Continuous Delivery | Atlassian,Build Quality In: The Key to Continuous Delivery in Kanban,How Mature is Your Organization when it Comes to UX?,Do You Suffer From Deployment Anxiety? - DZone DevOps,Microservices testing
8239286975497580612,The Continuous Delivery Maturity Model,The Business Case for Continuous Delivery | Continuous Delivery | Atlassian,Do You Suffer From Deployment Anxiety? - DZone DevOps,Dial in with ease using the latest Google Calendar app for Android,12 Agile principles
